Cabinet_Name,Cabinet_Category,Cabinet_Sub_Type,SKU,Stock_Price,Doors,Drawers,Shelves,Width,Height,Depth,Phase,Run,Catalog_Page
,Base Cabinet,,B21-2TD,1347,,,,,,,1,1,I23
,Base Cabinet,,B24-2TD,1382,,,,,,,1,1,I23
,Base Cabinet,,B27-2TD,1421,,,,,,,1,1,I23
,Base Cabinet,,B30-2TD,1462,,,,,,,1,1,I23
,Base Cabinet,,B33-2TD,1557,,,,,,,1,1,I23
,Base Cabinet,,B36-2TD,1652,,,,,,,1,1,I23
,Base Cabinet,,B39-2TD,1867,,,,,,,1,1,I23
,Base Cabinet,,B42-2TD,1962,,,,,,,1,1,I23
,Base Cabinet,,B12-4,523,,,,,,,1,1,I24
,Base Cabinet,,B15-4,541,,,,,,,1,1,I24
,Base Cabinet,,B18-4,582,,,,,,,1,1,I24
,Base Cabinet,,B21-4,623,,,,,,,1,1,I24
,Base Cabinet,,B24-4,658,,,,,,,1,1,I24
,Base Cabinet,,B27-4,697,,,,,,,1,1,I24
,Base Cabinet,,B30-4,738,,,,,,,1,1,I24
,Base Cabinet,,B33-4,833,,,,,,,1,1,I24
,Base Cabinet,,B36-4,928,,,,,,,1,1,I24
,Base Cabinet,,B39-4,1263,,,,,,,1,1,I24
,Base Cabinet,,B42-4,1358,,,,,,,1,1,I24
,Base Cabinet,,STB30-4,848,,,,,,,1,1,I25
,Base Cabinet,,STB33-4,943,,,,,,,1,1,I25
,Base Cabinet,,STB36-4,1038,,,,,,,1,1,I25
,Base Cabinet,,STB39-4,1373,,,,,,,1,1,I25
,Base Cabinet,,STB42-4,1468,,,,,,,1,1,I25
,Base Cabinet,,STB45-4,1563,,,,,,,1,1,I25
,Base Cabinet,,STB48-4,1658,,,,,,,1,1,I25
,Base Cabinet,,BL2HD36,2432,,,,,,,1,1,I26
,Base Cabinet,,BL2HD39,2862,,,,,,,1,1,I26
,Base Cabinet,,BL2HD42,3052,,,,,,,1,1,I26
,Base Cabinet,,BL3D36,1834,,,,,,,1,1,I27
,Base Cabinet,,BL3D39,2384,,,,,,,1,1,I27
,Base Cabinet,,BL3D42,2574,,,,,,,1,1,I27
,Base Cabinet,,BL4D36,1856,,,,,,,1,1,I28
,Base Cabinet,,BL4D39,2526,,,,,,,1,1,I28
,Base Cabinet,,BL4D42,2716,,,,,,,1,1,I28
,Base Cabinet,,BBD12-3,743,,,,,,,1,1,I29
,Base Cabinet,,BBD15-3,762,,,,,,,1,1,I29
,Base Cabinet,,BBD18-3,802,,,,,,,1,1,I29
,Base Cabinet,,BBD21-3,843,,,,,,,1,1,I29
,Base Cabinet,,BBD24-3,909,,,,,,,1,1,I29
,Base Cabinet,,BBD12-4,756,,,,,,,1,1,I30
,Base Cabinet,,BBD15-4,773,,,,,,,1,1,I30
,Base Cabinet,,BBD18-4,814,,,,,,,1,1,I30
,Base Cabinet,,BBD21-4,855,,,,,,,1,1,I30
,Base Cabinet,,BBD24-4,922,,,,,,,1,1,I30
,Base Cabinet,,BBB12-3,838,,,,,,,1,1,I31
,Base Cabinet,,BBB15-3,857,,,,,,,1,1,I31
,Base Cabinet,,BBB18-3,897,,,,,,,1,1,I31
,Base Cabinet,,BBB21-3,938,,,,,,,1,1,I31
,Base Cabinet,,BBB24-3,972,,,,,,,1,1,I31
,Base Cabinet,,BBB12-4,851,,,,,,,1,1,I32
,Base Cabinet,,BBB15-4,868,,,,,,,1,1,I32
,Base Cabinet,,BBB18-4,909,,,,,,,1,1,I32
,Base Cabinet,,BBB21-4,950,,,,,,,1,1,I32
,Base Cabinet,,BBB24-4,1017,,,,,,,1,1,I32
,Base Cabinet,,BBBD12-3,1071,,,,,,,1,1,I33
,Base Cabinet,,BBBD15-3,1089,,,,,,,1,1,I33
,Base Cabinet,,BBBD18-3,1129,,,,,,,1,1,I33
,Base Cabinet,,BBBD21-3,1170,,,,,,,1,1,I33
,Base Cabinet,,BBBD24-3,1237,,,,,,,1,1,I33
,Base Cabinet,,BBBD12-4,1083,,,,,,,1,1,I34
,Base Cabinet,,BBBD15-4,1101,,,,,,,1,1,I34
,Base Cabinet,,BBBD18-4,1142,,,,,,,1,1,I34
,Base Cabinet,,BBBD21-4,1183,,,,,,,1,1,I34
,Base Cabinet,,BBBD24-4,1249,,,,,,,1,1,I34
,Base Cabinet,,BLS36,1069,,,,,,,1,1,I35
,Base Cabinet,,BLSS36,1534,,,,,,,1,1,I36
,Base Cabinet,,BL33-PH,1388,,,,,,,1,1,I37
,Base Cabinet,,BL36-PH,1417,,,,,,,1,1,I37
,Base Cabinet,,BLSB33-PH,1272,,,,,,,1,1,I37
,Base Cabinet,,BLSB36-PH,1301,,,,,,,1,1,I37
,Base Cabinet,,BL33-SS-PH,2017,,,,,,,1,1,I40
,Base Cabinet,,BL36-SS-PH,2046,,,,,,,1,1,I40
,Base Cabinet,,DSB36,1063,,,,,,,1,1,I41
,Base Cabinet,,DSB39,1137,,,,,,,1,1,I41
,Base Cabinet,,DSB42,1197,,,,,,,1,1,I41
,Base Cabinet,,DSB42-2D,1394,,,,,,,1,1,I41
,Base Cabinet,,DSB36-LS,1551,,,,,,,1,1,I41
,Base Cabinet,,DSF36,495,,,,,,,1,1,I41
,Base Cabinet,,DSF39,511,,,,,,,1,1,I41
,Base Cabinet,,DSF42,534,,,,,,,1,1,I41
,Base Cabinet,,DSB36-SS,1560,,,,,,,1,1,I42
,Base Cabinet,,DSB39-SS,1634,,,,,,,1,1,I42
,Base Cabinet,,DSB42-SS,1694,,,,,,,1,1,I42
,Base Cabinet,,BL36-CP-PH,3265,,,,,,,1,1,I43
,Base Cabinet,,BL36-RC,2051,,,,,,,1,1,I44
,Base Cabinet,,BWDMB15,881,,,,,,,1,1,I45
,Base Cabinet,,BWDMB18,916,,,,,,,1,1,I45
,Base Cabinet,,BWDMB21,1045,,,,,,,1,1,I45
,Base Cabinet,,BWDMB15-FHD,881,,,,,,,1,1,I45
,Base Cabinet,,BWDMB18-FHD,916,,,,,,,1,1,I45
,Base Cabinet,,BWDMB21-FHD,1045,,,,,,,1,1,I45
,Base Cabinet,,BWDMA15,1141,,,,,,,1,1,I46
,Base Cabinet,,BWDMA18,1176,,,,,,,1,1,I46
,Base Cabinet,,BWDMA21,1378,,,,,,,1,1,I46
,Base Cabinet,,BWDMA18-FHD,1176,,,,,,,1,1,I46
,Base Cabinet,,BWDMA21-FHD,1378,,,,,,,1,1,I46
,Base Cabinet,,BWDMW15,1045,,,,,,,1,1,I47
,Base Cabinet,,BWDMW18,1132,,,,,,,1,1,I47
,Base Cabinet,,BWDMW21,1192,,,,,,,1,1,I47
,Base Cabinet,,BWDMW15-FHD,1056,,,,,,,1,1,I47
,Base Cabinet,,BWDMW18-FHD,1173,,,,,,,1,1,I47
,Base Cabinet,,BWDMW21-FHD,1230,,,,,,,1,1,I47
,Base Cabinet,,BWDMWSD15,1836,,,,,,,1,1,I48
,Base Cabinet,,BWDMWSD18,1923,,,,,,,1,1,I48
,Base Cabinet,,BWDMWSD21,1983,,,,,,,1,1,I48
,Base Cabinet,,BWDMWSD15-FHD,1847,,,,,,,1,1,I48
,Base Cabinet,,BWDMWSD18-FHD,1964,,,,,,,1,1,I48
,Base Cabinet,,BWDMWSD21-FHD,2021,,,,,,,1,1,I48
,Base Cabinet,,BO24,621,,,,,,,1,1,I49
,Base Cabinet,,BO27,656,,,,,,,1,1,I49
,Base Cabinet,,BO30,691,,,,,,,1,1,I49
,Base Cabinet,,BO33,726,,,,,,,1,1,I49
,Base Cabinet,,BO36,754,,,,,,,1,1,I49
,Base Cabinet,,FIBO24,1062,,,,,,,1,1,I50
,Base Cabinet,,FIBO27,1097,,,,,,,1,1,I50
,Base Cabinet,,FIBO30,1132,,,,,,,1,1,I50
,Base Cabinet,,FIBO33,1167,,,,,,,1,1,I50
,Base Cabinet,,FIBO36,1195,,,,,,,1,1,I50
,Base Cabinet,,FOBO24,1462,,,,,,,1,1,I51
,Base Cabinet,,FOBO27,1497,,,,,,,1,1,I51
,Base Cabinet,,FOBO30,1532,,,,,,,1,1,I51
,Base Cabinet,,FOBO33,1567,,,,,,,1,1,I51
,Base Cabinet,,FOBO36,1595,,,,,,,1,1,I51
,Base Cabinet,,BWD27,892,,,,,,,1,1,I52
,Base Cabinet,,BWD30,946,,,,,,,1,1,I52
,Base Cabinet,,BWD33,1069,,,,,,,1,1,I52
,Base Cabinet,,BWD36,1192,,,,,,,1,1,I52
,Base Cabinet,,FIBWD27,1333,,,,,,,1,1,I53
,Base Cabinet,,FIBWD30,1387,,,,,,,1,1,I53
,Base Cabinet,,FIBWD33,1510,,,,,,,1,1,I53
,Base Cabinet,,FIBWD36,1633,,,,,,,1,1,I53
,Base Cabinet,,FOBWD27,1733,,,,,,,1,1,I54
,Base Cabinet,,FOBWD30,1787,,,,,,,1,1,I54
,Base Cabinet,,FOBWD33,1910,,,,,,,1,1,I54
,Base Cabinet,,FOBWD36,2033,,,,,,,1,1,I54
,Base Cabinet,,BWRX15,925,,,,,,,1,1,I55
,Base Cabinet,,BWRX18,936,,,,,,,1,1,I55
,Base Cabinet,,BWRX21,971,,,,,,,1,1,I55
,Base Cabinet,,BWRX24,990,,,,,,,1,1,I55
,Base Cabinet,,BWRX27,1123,,,,,,,1,1,I55
,Base Cabinet,,BWRX30,1157,,,,,,,1,1,I55
,Base Cabinet,,BWRX33,1192,,,,,,,1,1,I55
,Base Cabinet,,BWRX36,1222,,,,,,,1,1,I55
,Base Cabinet,,RTB27,1281,,,,,,,1,1,I56
,Base Cabinet,,RTB30,1334,,,,,,,1,1,I56
,Base Cabinet,,RTB33,1457,,,,,,,1,1,I56
,Base Cabinet,,RTB36,1581,,,,,,,1,1,I56
,Base Cabinet,,RTB39,1860,,,,,,,1,1,I56
,Base Cabinet,,RTB42,1984,,,,,,,1,1,I56
,Base Cabinet,,RTB45,2395,,,,,,,1,1,I56
,Base Cabinet,,RTB48,2519,,,,,,,1,1,I56
,Base Cabinet,,BWC30,960,,,,,,,1,1,I57
,Base Cabinet,,BWDG15,760,,,,,,,1,1,I58
,Base Cabinet,,BWDG18,800,,,,,,,1,1,I58
,Base Cabinet,,BWDG21,840,,,,,,,1,1,I58
,Base Cabinet,,BWDG24,880,,,,,,,1,1,I58
,Base Cabinet,,BWS12,1156,,,,,,,1,1,I59
,Base Cabinet,,BWS15,1239,,,,,,,1,1,I59
,Base Cabinet,,BWS18,1304,,,,,,,1,1,I59
,Base Cabinet,,BWS21,1393,,,,,,,1,1,I59
,Base Cabinet,,BWS24,1466,,,,,,,1,1,I59
,Base Cabinet,,BWS27,1653,,,,,,,1,1,I59
,Base Cabinet,,BWS30,1741,,,,,,,1,1,I59
,Base Cabinet,,BWS33,1830,,,,,,,1,1,I59
,Base Cabinet,,BWS36,1914,,,,,,,1,1,I59
,Base Cabinet,,BCNCWS42,8438,,,,,,,1,1,I60
,Base Cabinet,,BCNCWS48,8638,,,,,,,1,1,I60
,Base Cabinet,,BCNCWS54,8838,,,,,,,1,1,I60
,Base Cabinet,,BCVXWS42,8438,,,,,,,1,1,I61
,Base Cabinet,,BCVXWS48,8638,,,,,,,1,1,I61
,Base Cabinet,,BCVXWS54,8838,,,,,,,1,1,I61
,Base Cabinet,,BWRC6,551,,,,,,,1,1,I62
,Base Cabinet,,BND9,406,,,,,,,1,1,I63
,Base Cabinet,,BND12,436,,,,,,,1,1,I63
,Base Cabinet,,BND15,465,,,,,,,1,1,I63
,Base Cabinet,,BND18,476,,,,,,,1,1,I63
,Base Cabinet,,BND21,511,,,,,,,1,1,I63
,Base Cabinet,,BND24,530,,,,,,,1,1,I63
,Base Cabinet,,BND27,663,,,,,,,1,1,I63
,Base Cabinet,,BND30,697,,,,,,,1,1,I63
,Base Cabinet,,BND33,732,,,,,,,1,1,I63
,Base Cabinet,,BND36,762,,,,,,,1,1,I63
,Base Cabinet,,BAD6,1240,,,,,,,1,1,I64
,Base Cabinet,,BNDVA15,582,,,,,,,1,1,I65
,Base Cabinet,,BNDVA18,593,,,,,,,1,1,I65
,Base Cabinet,,BNDVA21,628,,,,,,,1,1,I65
,Base Cabinet,,BNDVA24,647,,,,,,,1,1,I65
,Base Cabinet,,BNDVA27,780,,,,,,,1,1,I65
,Base Cabinet,,BNDVA30,814,,,,,,,1,1,I65
,Base Cabinet,,BNDVA33,849,,,,,,,1,1,I65
,Base Cabinet,,BNDVA36,879,,,,,,,1,1,I65
,Base Cabinet,,BPOS-9,953,,,,,,,1,1,I66
,Base Cabinet,,BPOS-12,1088,,,,,,,1,1,I66
,Base Cabinet,,BPOS-15,1503,,,,,,,1,1,I66
,Base Cabinet,,BPOS-18,1679,,,,,,,1,1,I66
,Base Cabinet,,BKI-9,1510,,,,,,,1,1,I67
,Base Cabinet,,BKI-12,1540,,,,,,,1,1,I67
,Base Cabinet,,BKI-15,1747,,,,,,,1,1,I67
,Base Cabinet,,BTD-9,983,,,,,,,1,1,I68
,Base Cabinet,,BTD-12,1159,,,,,,,1,1,I68
,Base Cabinet,,BFSO18,1243,,,,,,,1,1,I69
,Base Cabinet,,BFSO24,1365,,,,,,,1,1,I69
,Base Cabinet,,BFSO24-2D,1562,,,,,,,1,1,I69
,Base Cabinet,,BFSO18-FHD,1243,,,,,,,1,1,I69
