Cabinet Name,Cabinet Category,Cabinet Sub-Type,SKU,Price,Doors,Drawers,Shelves,Width,Height,Depth
Seaport Light Gray Custom Height Wall - 30w 27h 12d,Wall Cabinet,Wall Kitchen Cabinets,SLG-W3027-RTA,375,2,0,1,30.0in,27.0in,12.0in
Seaport Light Gray Deep Bridge Cabinet - 30w 12h 24d,Wall Cabinet,Wall Kitchen Cabinets,SLG-W301224-RTA,370,2,0,0,30.0in,12.0in,24.0in
Seaport Light Gray Deep Bridge Cabinet - 33w 12h 24d,Wall Cabinet,Wall Kitchen Cabinets,SLG-W331224-RTA,367,2,0,0,33.0in,12.0in,24.0in
Seaport Light Gray Deep Bridge Cabinet - 36w 12h 24d,Wall Cabinet,Wall Kitchen Cabinets,SLG-W361224-RTA,384,2,0,0,36.0in,12.0in,24.0in
Seaport Light Gray Deep Mid-Height Wall - 30w 18h 24d,Wall Cabinet,Wall Kitchen Cabinets,SLG-W301824-RTA,406,2,0,0,30.0in,18.0in,24.0in
Seaport Light Gray Deep Mid-Height Wall - 33w 18h 24d,Wall Cabinet,Wall Kitchen Cabinets,SLG-W331824-RTA,434,2,0,0,33.0in,18.0in,24.0in
Seaport Light Gray Deep Mid-Height Wall - 36w 18h 24d,Wall Cabinet,Wall Kitchen Cabinets,SLG-W361824-RTA,409,2,0,0,36.0in,18.0in,24.0in
Seaport Light Gray Deep Wall Cabinet - 30w 15h 24d,Wall Cabinet,Wall Kitchen Cabinets,SLG-W301524-RTA,389,2,0,0,30.0in,15.0in,24.0in
Seaport Light Gray Deep Wall Cabinet - 30w 24h 24d,Wall Cabinet,Wall Kitchen Cabinets,SLG-W302424-RTA,473,2,0,1,30.0in,24.0in,24.0in
Seaport Light Gray Deep Wall Cabinet - 33w 15h 24d,Wall Cabinet,Wall Kitchen Cabinets,SLG-W331524-RTA,448,2,0,0,33.0in,15.0in,24.0in
Seaport Light Gray Deep Wall Cabinet - 33w 24h 24d,Wall Cabinet,Wall Kitchen Cabinets,SLG-W332424-RTA,465,2,0,1,33.0in,24.0in,24.0in
Seaport Light Gray Deep Wall Cabinet - 36w 15h 24d,Wall Cabinet,Wall Kitchen Cabinets,SLG-W361524-RTA,487,2,0,0,36.0in,15.0in,24.0in
Seaport Light Gray Deep Wall Cabinet - 36w 24h 24d,Wall Cabinet,Wall Kitchen Cabinets,SLG-W362424-RTA,498,2,0,1,36.0in,24.0in,24.0in
